etiquette
handaband	handshake	악수
persónulegt rými	personal space	개인 공간
loftkoss	air kiss	손키스
klæðaburður	dress code	복장 규정
fimma	high five	하이파이브
slá saman hnefum	fist bump	주먹 부딪히기
hnébeyging	curtsy	예절
hneiging	bowing	인사
dömur fyrst	ladies first	숙녀 먼저
augnsamband	eye contact	시선을 마주침
blóta	cursing	욕
truflun	interruption	끼어들기
handbendingar	hand gesture	손짓
ég hrósa	I compliment	저는 칭찬해요
ég veifa	I wave	저는 흔들어요
ég biðst afsökunar	I apologize	저는 사과해요
ég held hurðinni	I hold the door	저는 문을 잡고 있어요
ég lyfti hatti mínum	I tip my hat	저는 모자를 들어요
